Number of reserved features,Faithfulness score,Interpreter,Model
5,0.6208,Anchor,MLP
6,0.6208,Anchor,MLP
7,0.6214,Anchor,MLP
8,0.6214,Anchor,MLP
9,0.6214,Anchor,MLP
10,0.622,Anchor,MLP
11,0.6217,Anchor,MLP
12,0.6214,Anchor,MLP
13,0.6224,Anchor,MLP
14,0.622,Anchor,MLP
15,0.6208,Anchor,MLP
16,0.6217,Anchor,MLP
17,0.622,Anchor,MLP
18,0.622,Anchor,MLP
19,0.6261,Anchor,MLP
20,0.6289,Anchor,MLP
21,0.628,Anchor,MLP
22,0.6307,Anchor,MLP
23,0.6307,Anchor,MLP
24,0.6307,Anchor,MLP
25,0.6307,Anchor,MLP
26,0.6307,Anchor,MLP
27,0.6307,Anchor,MLP
28,0.6307,Anchor,MLP
29,0.6307,Anchor,MLP
30,0.6307,Anchor,MLP
31,0.6307,Anchor,MLP
32,0.6307,Anchor,MLP
33,0.6307,Anchor,MLP
34,0.6307,Anchor,MLP
35,0.6307,Anchor,MLP
36,0.6307,Anchor,MLP
37,0.6307,Anchor,MLP
38,0.6307,Anchor,MLP
39,0.6307,Anchor,MLP
40,0.6307,Anchor,MLP
41,0.6307,Anchor,MLP
42,0.6307,Anchor,MLP
43,0.6307,Anchor,MLP
44,0.6307,Anchor,MLP
45,0.6307,Anchor,MLP
46,0.6307,Anchor,MLP
47,0.6307,Anchor,MLP
48,0.6307,Anchor,MLP
49,0.6307,Anchor,MLP
50,0.6307,Anchor,MLP
51,0.6307,Anchor,MLP
52,0.6307,Anchor,MLP
53,0.6307,Anchor,MLP
54,0.6307,Anchor,MLP
55,0.6307,Anchor,MLP
56,0.6307,Anchor,MLP
57,0.6307,Anchor,MLP
1,0.6196,LORE,MLP
2,0.3854,LORE,MLP
3,0.3807,LORE,MLP
4,0.3804,LORE,MLP
5,0.3804,LORE,MLP
6,0.3804,LORE,MLP
7,0.3804,LORE,MLP
8,0.3835,LORE,MLP
9,0.3823,LORE,MLP
10,0.3804,LORE,MLP
11,0.4699,LORE,MLP
12,0.6789,LORE,MLP
13,0.7199,LORE,MLP
14,0.654,LORE,MLP
15,0.6543,LORE,MLP
16,0.6627,LORE,MLP
17,0.5003,LORE,MLP
18,0.5624,LORE,MLP
19,0.6118,LORE,MLP
20,0.5494,LORE,MLP
21,0.6335,LORE,MLP
22,0.5531,LORE,MLP
23,0.7273,LORE,MLP
24,0.5236,LORE,MLP
25,0.5236,LORE,MLP
26,0.5236,LORE,MLP
27,0.5236,LORE,MLP
28,0.5236,LORE,MLP
29,0.5236,LORE,MLP
30,0.5236,LORE,MLP
31,0.5236,LORE,MLP
32,0.5236,LORE,MLP
33,0.5236,LORE,MLP
34,0.5236,LORE,MLP
35,0.5236,LORE,MLP
36,0.5236,LORE,MLP
37,0.5236,LORE,MLP
38,0.5236,LORE,MLP
39,0.5236,LORE,MLP
40,0.5236,LORE,MLP
41,0.5236,LORE,MLP
42,0.5236,LORE,MLP
43,0.5236,LORE,MLP
44,0.5236,LORE,MLP
45,0.5236,LORE,MLP
46,0.5236,LORE,MLP
47,0.5236,LORE,MLP
48,0.5236,LORE,MLP
49,0.5236,LORE,MLP
50,0.5236,LORE,MLP
51,0.5236,LORE,MLP
52,0.5236,LORE,MLP
53,0.5236,LORE,MLP
54,0.5236,LORE,MLP
55,0.5236,LORE,MLP
56,0.5236,LORE,MLP
57,0.5236,LORE,MLP
