Number of removed features,Robustness score,Interpreter,Model
54,0.8335,Anchor,MLP
55,0.8335,Anchor,MLP
56,0.8335,Anchor,MLP
57,0.8335,Anchor,MLP
1,0.7046,LORE,MLP
2,0.6872,LORE,MLP
3,0.6618,LORE,MLP
4,0.6626,LORE,MLP
5,0.6684,LORE,MLP
6,0.6821,LORE,MLP
7,0.6684,LORE,MLP
8,0.6604,LORE,MLP
9,0.651,LORE,MLP
10,0.6524,LORE,MLP
11,0.6539,LORE,MLP
12,0.6517,LORE,MLP
13,0.656,LORE,MLP
14,0.6575,LORE,MLP
15,0.6575,LORE,MLP
16,0.6604,LORE,MLP
17,0.6589,LORE,MLP
18,0.6589,LORE,MLP
19,0.6589,LORE,MLP
20,0.6589,LORE,MLP
21,0.6589,LORE,MLP
22,0.6589,LORE,MLP
23,0.6589,LORE,MLP
24,0.6589,LORE,MLP
25,0.6589,LORE,MLP
26,0.6589,LORE,MLP
27,0.6589,LORE,MLP
28,0.6589,LORE,MLP
29,0.6589,LORE,MLP
30,0.6589,LORE,MLP
31,0.6589,LORE,MLP
32,0.6589,LORE,MLP
33,0.6589,LORE,MLP
34,0.6589,LORE,MLP
35,0.6589,LORE,MLP
36,0.6589,LORE,MLP
37,0.6589,LORE,MLP
38,0.6589,LORE,MLP
39,0.6589,LORE,MLP
40,0.6589,LORE,MLP
41,0.6589,LORE,MLP
42,0.6589,LORE,MLP
43,0.6589,LORE,MLP
44,0.6589,LORE,MLP
45,0.6589,LORE,MLP
46,0.6589,LORE,MLP
47,0.6589,LORE,MLP
48,0.6589,LORE,MLP
49,0.6589,LORE,MLP
50,0.6589,LORE,MLP
51,0.6589,LORE,MLP
52,0.6589,LORE,MLP
53,0.6589,LORE,MLP
54,0.6589,LORE,MLP
55,0.6589,LORE,MLP
56,0.6589,LORE,MLP
57,0.6589,LORE,MLP
